,id,a,b,c,alpha,beta,gamma
432,mp-7849,5.078091656566135,5.078091656566135,7.5281597804460025,90.0,90.0,90.0
433,mp-7863,6.116072005758475,6.116072005758475,15.095677810604517,90.0,90.0,119.99999999999999
434,mp-7895,4.186799731086583,5.976776745704844,7.076612094465815,90.0,90.0,90.0
435,mp-7896,4.33370958994754,6.4373674474236795,7.55766327013292,90.0,90.0,90.0
436,mp-7906,5.575833556859672,5.575833556859672,10.245984130080151,90.0,90.0,90.0
437,mp-7914,3.1625814166058586,3.1625814166058586,16.167917775054764,90.0,90.0,119.99999999999999
438,mp-7921,4.931299724025061,4.931299724025061,13.529971815741508,90.0,90.0,120.00000000000001
439,mp-7928,3.6186655897013416,7.098178932701671,9.412076785098769,90.0,90.0,90.0
440,mp-7929,3.649726006860059,7.314518603315928,9.8947894216789,90.0,90.0,90.0
441,mp-7936,3.379511532247833,3.379511532247833,12.88272117,90.0,90.0,120.00000000000001
442,mp-7937,3.426692771606144,3.426692771606144,14.15652617,90.0,90.0,120.00000000000001
443,mp-7939,3.5745049706748264,3.5745049706748264,14.80995926,90.0,90.0,120.00000000000001
444,mp-7950,4.03862619,4.03862619,7.07161869,90.0,90.0,90.0
445,mp-7958,3.714999981146087,3.714999981146087,18.60610088209639,90.0,90.0,119.99999999999999
446,mp-7959,3.4083938692741373,3.4083938692741373,18.52192202936645,90.0,90.0,120.00000000000001
447,mp-7972,3.7331845257849654,3.7331845257849654,19.602082796982163,90.0,90.0,120.00000000000001
448,mp-7973,3.643908003784008,3.643908003784008,19.666961709207744,90.0,90.0,120.00000000000001
449,mp-7976,3.5427308168687297,3.5427308168687297,19.559266622126994,90.0,90.0,119.99999999999999
450,mp-7977,3.6264632313694776,3.6264632313694776,13.74930084,90.0,90.0,120.00000000000001
451,mp-7979,5.692030111272928,5.692030111272928,4.60172173,90.0,90.0,120.00000000000001
452,mp-7988,4.197928893645642,4.197928893645642,20.09399423504375,90.0,90.0,120.00000000000001
453,mp-8016,5.586895595237361,5.586895595237361,11.057294715261243,90.0,90.0,90.0
454,mp-8017,6.034586522527073,6.034586522527073,12.011829386038276,90.0,90.0,90.0
455,mp-8041,7.777320933490631,7.777320933490631,7.777320933490631,90.0,90.0,90.0
456,mp-8128,4.74060428402085,4.74060428402085,10.973728983042959,90.0,90.0,90.0
457,mp-8136,3.97421556,3.97421556,6.77586343,90.0,90.0,90.0
458,mp-8152,4.262679929845107,4.262679929845107,6.8298997,90.0,90.0,120.00000000000001
459,mp-8175,3.4535242973327644,3.4535242973327644,18.306719996473184,90.0,90.0,120.00000000000001
460,mp-8176,3.48784157923181,3.48784157923181,19.203962748926696,90.0,90.0,120.00000000000001
461,mp-8177,5.556361843949142,5.556361843949142,5.556361843949142,90.0,90.0,90.0
462,mp-8181,3.5735077550689733,3.5735077550689733,5.43007881,90.0,90.0,120.00000000000001
463,mp-8188,3.2212256938291337,3.2212256938291337,18.323436935919094,90.0,90.0,119.99999999999999
464,mp-8226,4.008795930883139,4.008795930883139,20.300737860803384,90.0,90.0,119.99999999999999
465,mp-8255,5.1919305248511,5.1919305248511,14.903034106222874,90.0,90.0,120.00000000000001
466,mp-8256,4.956223896552941,4.956223896552941,13.765944681960754,90.0,90.0,120.00000000000001
467,mp-8260,4.020110533482038,4.020110533482038,19.816624598588835,90.0,90.0,120.00000000000001
468,mp-8276,4.081281343079267,4.081281343079267,7.09682644,90.0,90.0,119.99999999999999
469,mp-8277,4.359522220957518,4.359522220957518,7.31153407,90.0,90.0,120.00000000000001
470,mp-8278,4.374277007884123,4.374277007884123,7.62668553,90.0,90.0,119.99999999999999
471,mp-8279,4.437200700112347,4.437200700112347,7.6148527900000005,90.0,90.0,119.99999999999999
472,mp-8280,4.492983555272889,4.492983555272889,7.77005598,90.0,90.0,119.99999999999999
473,mp-8289,8.697951889614073,8.697951889614073,8.697951889614073,90.0,90.0,90.0
474,mp-8291,7.409294745509793,7.409294745509793,7.243374630764433,90.0,90.0,120.00000000000001
475,mp-8298,4.814255657166646,4.814255657166646,15.995377817463117,90.0,90.0,90.0
476,mp-8299,4.857748803716024,4.857748803716024,16.348874162305346,90.0,90.0,90.0
477,mp-8301,3.719749954792479,3.719749954792479,6.43999874,90.0,90.0,120.00000000000001
478,mp-8348,7.691566867726074,7.691566867726074,7.709062465957791,90.0,90.0,120.00000000000001
479,mp-8393,9.668525231747664,9.668525231747664,7.524514919878448,90.0,90.0,120.00000000000001
480,mp-8399,4.4868106800000005,4.4868106800000005,4.4868106800000005,90.0,90.0,90.0
481,mp-8407,4.227570234996691,4.227570234996691,6.88330997,90.0,90.0,120.00000000000001
482,mp-8409,3.4564958304595095,3.4564958304595095,18.582286919784195,90.0,90.0,120.00000000000001
483,mp-8430,4.31172379,4.31172379,6.9418714999999995,90.0,90.0,90.0
484,mp-8452,4.00926097,4.00926097,6.47945416,90.0,90.0,90.0
485,mp-8470,4.769976972647107,4.769976972647107,11.140240967368758,90.0,90.0,90.0
486,mp-8579,4.3956527736625155,4.3956527736625155,7.26815684,90.0,90.0,120.00000000000001
487,mp-8584,4.0815849450739785,4.0815849450739785,20.761747754563217,90.0,90.0,119.99999999999999
488,mp-8621,3.7690503513755385,7.38322861819781,9.718584953452897,90.0,90.0,90.0
489,mp-8622,3.7958763498015653,7.619263505433866,10.20088095925044,90.0,90.0,90.0
490,mp-8658,4.9949251,4.9949251,8.1072423,90.0,90.0,90.0
491,mp-8751,4.41180301,4.41180301,7.26324285,90.0,90.0,90.0
492,mp-8756,4.50147408,4.50147408,7.20714494,90.0,90.0,90.0
493,mp-8818,3.579630731830518,3.579630731830518,12.552653628812164,90.0,90.0,90.0
494,mp-8830,3.1173379381712683,3.1173379381712683,15.275066728828227,90.0,90.0,119.99999999999999
495,mp-8873,4.561494,4.561494,6.99065,90.0,90.0,90.0
496,mp-8922,5.263299531517678,5.263299531517678,4.8221408,90.0,90.0,120.00000000000001
497,mp-8963,4.651847420765739,4.651847420765739,14.49661146151471,90.0,90.0,90.0
498,mp-9006,3.6319861845552746,3.6319861845552746,6.26982569,90.0,90.0,120.00000000000001
499,mp-9035,3.8754610815211166,3.8754610815211166,19.79132655,90.0,90.0,120.00000000000001
500,mp-9036,4.571723449702863,4.571723449702863,24.521902073864553,90.0,90.0,119.99999999999999
501,mp-9076,3.9109835231248073,3.9109835231248073,19.795267814787344,90.0,90.0,120.00000000000001
502,mp-9082,4.172887316821706,4.172887316821706,24.31480524379117,90.0,90.0,120.00000000000001
