id,Formule,BG,IM,CA,a,b,c,alpha,beta,gamma,contains_rare_earth,is_element,num_of_elements
mp-14091,AlAgSe2,1.1351999999999998,False,89730.35346629101,5.975205832709159,5.975205832709159,11.022078117801527,90.0,90.0,90.0,False,False,3
mp-14115,LiRhO2,1.5153,False,319909.78095456463,3.04022935907144,3.04022935907144,14.041680872092838,90.0,90.0,120.0,False,False,3
mp-14116,CuRhO2,0.6553000000000004,False,369164.3617237576,3.085909045506548,3.085909045506548,17.065339858815793,90.0,90.0,120.0,False,False,3
mp-14205,K3Cu3As2,1.2741,False,415248.42532602296,5.748374833597323,5.748374833597323,20.450367151360027,90.0,90.0,120.0,False,False,3
mp-15724,KNa2Sb,0.6720999999999999,False,515919.4804408981,7.704635599215965,7.704635599215965,7.704635599215965,90.0,90.0,90.0,False,False,3
mp-15988,Li2CuSb,0.4535,False,489082.7843674417,6.291892799711175,6.291892799711175,6.291892799711175,90.0,90.0,90.0,False,False,3
mp-16236,KAgSe,0.4821999999999999,False,113369.2887365727,4.51645146,4.51645146,7.6982129,90.0,90.0,90.0,False,False,3
mp-19178,CoAgO2,1.332,False,429596.6600808842,2.861520861046852,2.861520861046852,12.28569151,90.0,90.0,120.0,False,False,3
mp-19338,LiMoO2,0.0,True,92028.10549071776,2.769270157690112,2.769270157690112,16.049502447135133,90.0,90.0,120.0,False,False,3
mp-19378,CrAgO2,1.6634000000000009,False,153935.58306831704,2.9928262211308585,2.9928262211308585,18.55869299052621,90.0,90.0,120.0,False,False,3
mp-19443,WO3,0.8578,False,132163.21600501973,5.32499735,5.32499735,3.94449455,90.0,90.0,90.0,False,False,2
mp-19717,TePb,0.8063000000000002,False,1309123.012061582,6.541793610119743,6.541793610119743,6.541793610119743,90.0,90.0,90.0,False,False,2
mp-19734,MgPbF6,3.0406,False,2855.025133528147,5.124584485333622,5.124584485333622,14.229468236718324,90.0,90.0,120.0,False,False,3
mp-19833,InAgS2,0.3772999999999999,False,190925.5217231584,5.873910311268413,5.873910311268413,11.395495516130556,90.0,90.0,90.0,False,False,3
mp-19886,ThSnPt,0.6738,False,486801.9163552843,6.798892648031452,6.798892648031452,6.798892648031452,90.0,90.0,90.0,False,False,3
mp-20015,As2PbO6,2.1358,False,11243.670882296748,4.894081558584741,4.894081558584741,5.51676445,90.0,90.0,120.0,False,False,3
mp-20098,Ba2PbO4,1.2232000000000005,False,114405.61820532594,4.339554848334276,4.339554848334276,13.36430255816295,90.0,90.0,90.0,False,False,3
mp-20273,Ca3PbO,0.0,True,417688.9298040887,4.84593119,4.84593119,4.84593119,90.0,90.0,90.0,False,False,3
